id;name;opening_date;external_id
1;olive Specialist Chips;2021-03-26T06:04:27;ADP silver
2;Plastic Licensed Plastic Sausages;2021-03-25T20:54:40;Extensions
3;Bedfordshire;2021-03-26T05:16:52;Massachusetts Refined Borders
4;Cambridgeshire;2021-03-26T05:29:27;Facilitator
5;whiteboard withdrawal SCSI;2021-03-26T08:39:42;Kina Computers
6;Concrete Marketing;2021-03-25T15:20:40;Mexican Peso Mexican Unidad de Inversion (UDI) Montana
7;transition Ergonomic;2021-03-25T23:14:36;robust
8;Investor Planner Wooden;2021-03-26T02:18:33;Developer Gorgeous
9;Kazakhstan Pines enterprise;2021-03-26T04:16:15;Cheese TCP
10;compress Architect;2021-03-25T15:50:21;sensor North Carolina
