id;transaction_type;reversed;date_of;amount;overdraft_amount;balance_end_date;balance_number_of_days;running_balance;cumulative_balance;created_date;is_manual_transaction;release_id_of_hold_amount_transaction
1;84388;false;2021-03-26T05:28:36;20751;46458;2021-03-26T04:55:31;87795;19038;60920;2021-03-25T16:08:14;true;90140
2;4343;true;2021-03-25T12:49:35;13375;37499;2021-03-25T23:36:24;60949;53411;83377;2021-03-25T13:59:17;true;95134
3;98976;false;2021-03-25T12:45:03;91673;80917;2021-03-25T18:12:25;87201;9630;8051;2021-03-26T01:26:56;false;96260
4;31246;true;2021-03-26T02:22:21;85611;5795;2021-03-26T08:44:51;44058;51266;75811;2021-03-25T20:24:23;true;83590
5;10478;true;2021-03-26T06:37:06;78721;2565;2021-03-26T00:02:35;30794;76781;17637;2021-03-25T14:59:53;false;68025
6;85500;false;2021-03-25T22:20:27;35460;18138;2021-03-25T23:15:01;24774;57935;58376;2021-03-25T15:12:28;false;82927
7;46565;false;2021-03-25T18:42:25;27162;9711;2021-03-25T22:59:21;41389;65793;74380;2021-03-25T15:36:22;false;28073
8;81905;false;2021-03-26T02:12:16;27692;17645;2021-03-25T21:35:27;18633;93743;27959;2021-03-26T10:06:52;false;38468
9;14502;false;2021-03-25T14:48:25;57830;14015;2021-03-25T19:40:46;58638;19151;48621;2021-03-25T12:51:11;true;14093
10;98212;true;2021-03-26T06:21:36;8659;4754;2021-03-25T11:16:37;96943;95335;59929;2021-03-26T06:07:01;true;27631
