id;name;short_name;description;nominal_annual_interest_rate;interest_compounding_period_type;interest_posting_period_type;interest_calculation_type;interest_calculation_days_in_year_type;min_required_opening_balance;lockin_period_frequency;lockin_period_frequency_type;accounting_rule;withdrawal_fee_applicable_for_transfer;allow_overdraft;overdraft_limit;nominal_annual_interest_rate_overdraft;min_overdraft_for_interest_calculation;enforce_min_required_balance;min_required_balance;min_balance_for_interest_calculation;with_hold_tax;is_dormancy_tracking_active;days_to_inactive;days_to_dormancy;days_to_escheat
1;Paradigm Virginia;relationships robust AI;Vision-oriented Tactics Technician;46020;65999;52733;48786;40777;99513;21577;22304;89499;true;false;11318;50354;98405;true;861;26156;false;false;49544;1896;63760
2;standardization withdrawal;payment;Paradigm payment AI;55496;93864;50679;18005;70944;47718;91214;55926;14034;false;false;91352;1666;54533;true;88459;73931;false;false;3278;52962;15399
3;Money Market Account;Malagasy Ariary Operative solid state;web-enabled;14090;42389;73631;21960;12574;62740;58931;58820;93980;true;false;87036;8857;92644;false;52352;74968;true;false;10347;33623;66351
4;Italy;Fish RAM;Mouse port;46835;31942;93359;33742;16715;61971;95042;81811;79113;false;false;62898;92055;87598;true;55742;19024;false;false;37209;9329;71250
5;Forward Interactions purple;Data;Personal Loan Account;89250;21496;63248;15558;31917;87490;20988;67273;97773;true;true;31410;53569;26380;true;96230;16782;true;false;19173;28527;35772
6;withdrawal contextually-based;innovate Handmade Fresh Shoes;granular Bypass;34837;68945;99000;24482;2475;24945;17620;1280;38590;true;true;66219;78554;35119;false;54243;12220;false;true;48447;71185;22116
7;foreground Customer Factors;database navigating Automotive;payment Borders HDD;50091;88695;61064;65356;64728;31838;47645;19283;35289;false;true;89606;5255;14369;true;90267;32993;true;true;45651;30875;30800
8;sensor Facilitator Graphic Interface;Bedfordshire;Avon;95867;54213;47871;75317;94199;12930;37222;65485;94020;true;false;25174;56046;39581;false;42998;45660;false;true;51937;30435;59776
9;Hong Kong Soap;back-end;repurpose;82764;51839;78758;44528;31150;49392;60121;11788;2325;true;true;380;80003;69558;true;37149;21758;false;true;75070;54614;62979
10;B2C Kansas;Algerian Dinar;dynamic synergize;72346;41113;98009;99423;19396;22923;51386;74356;24193;true;true;38391;26791;17538;false;8825;13433;false;true;97885;24241;21778
